timeStamp,elapsed,bytes,grpThreads,allThreads,Latency
1526044948327,87,3892,111,108,87
1526044948408,35,3666,111,108,35
1526044948382,62,3666,111,108,62
1526044948321,93,3872,111,108,92
1526044948385,60,3701,111,110,60
1526044948331,112,3872,111,108,112
1526044948349,97,3786,111,110,97
1526044948398,45,3844,111,108,45
1526044948341,102,3876,111,108,74
1526044948346,102,3904,111,110,102
1526044948341,92,3885,111,108,71
1526044948385,64,3767,111,110,64
1526044948335,105,3786,111,108,104
1526044948384,66,3773,111,110,66
1526044948337,80,3902,111,108,80
1526044948403,48,3905,111,110,48
1526044948347,93,3902,111,108,68
1526044948384,68,3806,111,110,67
1526044948407,45,3718,111,110,45
1526044948369,70,3953,111,108,70
1526044948363,90,3876,111,110,52
1526044948404,49,3684,111,110,49
1526044948334,104,3841,111,108,104
1526044948386,68,3848,111,110,68
1526044948387,68,3866,111,110,67
1526044948380,75,3830,111,110,75
1526044948405,50,3716,111,110,50
1526044948401,55,3719,111,110,55
1526044948427,29,3977,111,110,29
1526044948428,29,3733,111,110,29
1526044948349,108,3701,111,110,108
1526044948425,33,3815,111,110,32
1526044948335,123,3709,111,110,123
1526044948395,63,3873,111,110,63
1526044948404,54,3839,111,110,54
1526044948438,21,3824,111,110,21
1526044948360,99,3887,111,110,51
1526044948430,30,3718,111,110,29
1526044948426,34,3738,111,110,34
1526044948382,78,3835,111,110,78
1526044948431,30,3798,111,110,30
1526044948426,35,3825,111,110,35
1526044948432,30,3816,111,110,30
1526044948427,36,3904,111,110,36
1526044948407,56,3767,111,110,56
1526044948429,34,3743,111,110,34
1526044948425,39,3721,111,110,39
1526044948437,28,3902,111,110,28
1526044948403,62,3887,111,110,62
1526044948384,81,3804,111,110,81
1526044948437,29,3814,111,110,29
1526044948435,32,3844,111,110,32
1526044948443,24,3839,111,110,24
1526044948401,67,3691,111,110,66
1526044948436,32,3869,111,110,32
1526044948445,23,3895,111,110,23
1526044948444,25,3738,111,110,25
1526044948433,37,3842,111,110,36
1526044948401,69,3706,111,110,69
1526044948444,26,3830,111,110,26
1526044948438,33,3774,111,110,33
1526044948408,63,3829,111,110,63
1526044948446,26,3837,111,110,26
1526044948437,35,3994,111,110,35
1526044948432,41,3839,111,110,41
1526044948402,71,3887,111,110,71
1526044948436,38,3757,111,110,38
1526044948430,45,3839,111,110,45
1526044948434,42,3876,111,110,42
1526044948355,122,3718,111,110,88
1526044948448,29,3747,111,110,29
1526044948448,30,3844,111,110,30
1526044948447,32,3661,111,110,31
1526044948449,30,3779,111,110,30
1526044948445,35,3783,111,110,35
1526044948449,32,3812,111,110,32
1526044948447,35,3902,111,110,34
1526044948451,31,3977,111,110,31
1526044948452,31,3902,111,110,31
1526044948379,104,4060,111,110,104
1526044948442,42,3684,111,110,42
1526044948450,34,3902,111,110,34
1526044948378,106,3977,111,110,44
1526044948377,44,3902,111,110,44
1526044948452,34,3837,111,110,34
1526044948331,156,3743,111,110,156
1526044948451,36,3837,111,110,35
1526044948353,135,3773,111,110,65
1526044948451,38,3745,111,110,38
1526044948368,121,3823,112,110,121
1526044948452,38,3895,112,111,38
1526044948332,158,3805,112,111,158
1526044948434,57,3807,112,111,57
1526044948368,123,3902,112,111,123
1526044948444,48,3820,112,111,48
1526044948330,162,3756,112,111,162
1526044948456,38,3860,112,111,37
1526044948459,35,3848,112,111,35
1526044948441,54,3747,112,111,54
1526044948453,43,3779,112,111,43
1526044948454,43,3872,112,111,43
1526044948438,60,3905,112,111,60
1526044948435,64,3807,112,111,64
1526044948389,110,3902,112,111,110
1526044948436,64,3912,112,111,64
1526044948458,42,3733,112,111,42
1526044948402,99,3757,112,111,99
1526044948396,105,3814,112,111,105
