timeStamp,elapsed,bytes,grpThreads,allThreads,Latency
1526045755643,134,3712,122,121,134
1526045755634,143,3708,122,121,143
1526045755634,158,3572,122,121,158
1526045755631,145,3664,122,121,145
1526045755633,143,3734,122,121,143
1526045755634,160,3715,122,121,160
1526045755672,104,3563,122,121,104
1526045755637,158,3618,123,121,157
1526045755635,160,3646,123,121,160
1526045755632,144,3715,122,121,144
1526045755646,150,3577,123,122,150
1526045755632,143,3584,122,121,143
1526045755632,143,3645,122,121,143
1526045755638,137,3563,122,121,137
1526045755632,143,3606,122,121,143
1526045755638,137,3606,122,121,137
1526045755635,161,3568,123,122,161
1526045755631,166,3612,123,122,166
1526045755631,144,3562,122,121,144
1526045755638,137,3573,122,121,136
1526045755631,143,3710,122,121,134
1526045755632,142,3669,122,121,142
1526045755639,135,3595,122,121,135
1526045755632,141,3600,122,121,141
1526045755632,141,3646,122,121,141
1526045755635,138,3618,122,121,138
1526045755632,141,3705,122,121,141
1526045755636,161,3577,123,122,161
1526045755649,124,3682,122,121,124
1526045755638,134,3648,122,121,134
1526045755634,138,3689,122,121,138
1526045755633,164,3563,123,122,164
1526045755634,138,3646,122,121,138
1526045755669,103,3738,122,121,103
1526045755634,165,3638,123,122,165
1526045755635,165,3618,123,122,164
1526045755636,135,3659,122,121,135
1526045755633,138,3689,122,121,138
1526045755632,169,3741,123,122,169
1526045755632,139,3704,122,121,139
1526045755631,171,3523,123,122,171
1526045755631,140,3613,122,121,139
1526045755635,136,3703,122,121,135
1526045755632,171,3803,123,122,171
1526045755631,174,3662,123,122,173
1526045755633,173,3689,123,122,172
1526045755636,170,3674,123,122,170
1526045755631,175,3613,123,122,175
1526045755631,176,3564,123,122,176
1526045755674,135,3767,123,122,135
1526045755746,65,3662,123,122,65
1526045755636,179,3586,124,123,179
1526045755634,184,3669,124,123,184
1526045755759,59,3563,124,123,59
1526045755756,64,3803,124,123,64
1526045755754,66,3741,124,123,66
1526045755758,63,3545,124,123,63
1526045755759,62,3649,124,123,62
1526045755754,69,3710,124,123,69
1526045755756,69,3662,124,123,69
1526045755761,64,3560,124,123,64
1526045755754,71,3708,124,123,71
1526045755760,66,3545,124,123,66
1526045755762,65,3618,124,123,64
1526045755762,65,3622,124,123,65
1526045755761,66,3712,124,123,66
1526045755760,69,3653,124,123,69
1526045755762,69,3600,126,125,69
1526045755762,69,3555,126,125,69
1526045755634,198,3583,126,125,198
1526045755763,71,3816,126,125,71
1526045755760,74,3572,126,125,74
1526045755756,79,3618,126,125,79
1526045755756,80,3741,126,125,80
1526045755758,80,3726,126,125,80
1526045755755,83,3686,126,125,83
1526045755764,74,3655,126,125,74
1526045755682,157,3555,126,125,157
1526045755764,76,3676,127,125,75
1526045755739,101,3613,128,125,101
1526045755741,101,3833,128,126,101
1526045755765,82,3663,129,127,82
1526045755765,83,3657,129,127,83
1526045755769,79,3606,129,127,79
1526045755766,86,3664,129,128,86
1526045755766,91,3681,129,128,91
1526045755767,100,3755,131,130,99
1526045755768,100,3648,131,130,99
1526045755767,102,3612,131,130,102
1526045755767,103,3595,132,131,103
1526045755768,103,3548,132,131,103
1526045755753,121,3682,133,131,118
1526045755780,94,3638,133,131,94
1526045755770,105,3568,134,131,102
1526045755781,94,3746,134,131,94
1526045755757,118,3663,134,131,118
1526045755781,102,3741,136,135,102
1526045755780,104,3586,136,135,104
1526045755784,101,3618,136,135,101
1526045755781,104,3670,138,136,104
1526045755783,103,3688,138,136,103
1526045755782,104,3689,138,136,104
1526045755782,105,3566,138,136,105
1526045755784,104,3595,138,136,104
1526045755784,105,3726,138,136,104
1526045755785,106,3669,139,138,106
1526045755785,107,3637,140,139,107
1526045755786,107,3659,140,139,107
1526045755786,107,3803,140,139,107
1526045755789,107,3687,141,140,106
1526045755787,109,3591,141,140,109
1526045755788,109,3591,141,140,109
1526045755788,110,3678,142,141,110
1526045755787,113,3670,142,141,108
1526045755789,112,3867,142,141,112
1526045755789,112,3767,142,141,112
1526045755790,112,3724,142,141,112
1526045755791,112,3566,142,141,112
1526045755793,113,3741,144,142,113
1526045755790,117,3816,144,142,116
1526045755793,115,3680,144,142,114
1526045755792,116,3622,144,142,115
1526045755791,117,3803,144,142,115
1526045755794,114,3555,144,142,113
1526045755792,116,3606,144,142,115
1526045755797,116,3715,144,142,116
1526045755798,116,3696,144,142,116
1526045755798,117,3568,144,142,116
1526045755797,118,3708,144,142,118
1526045755794,124,3715,144,143,124
1526045755795,124,3654,144,143,124
1526045755802,118,3682,144,143,118
1526045755795,125,3653,144,143,125
1526045755800,121,3703,144,143,121
1526045755795,126,3572,144,143,126
1526045755802,120,3676,144,143,117
1526045755798,125,3678,144,143,125
1526045755794,130,3577,144,143,130
1526045755799,126,3734,144,143,126
1526045755801,118,3767,145,143,118
1526045755800,127,3712,145,143,127
1526045755800,127,3618,145,143,127
1526045755804,124,3670,145,143,124
1526045755804,124,3606,145,143,122
1526045755807,121,3623,145,143,120
1526045755808,120,3867,145,143,120
1526045755806,123,3649,145,143,123
1526045755799,129,3564,146,143,129
1526045755806,124,3655,146,143,123
1526045755811,119,3738,146,143,119
1526045755810,121,3600,146,143,121
